2026-03-09 22:42:06.664 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14231, shortCode=2q257pd9QDm, longUrl=https://www.load-test--1773067326649-922.com, urlHash=ea7ecf0df4c7d4c6643349e4a539a433, status=1, expireTime=2026-03-16T22:42:06.649297400, createTime=2026-03-09T22:42:06.658289200, updateTime=2026-03-09T22:42:06.658289200)
2026-03-09 22:42:06.672 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14245, shortCode=2q257pfIeNW, longUrl=https://www.load-test--1773067326657-934.com, urlHash=d9273e81e2c4a5be339feaedf950de09, status=1, expireTime=2026-03-16T22:42:06.657278300, createTime=2026-03-09T22:42:06.667289100, updateTime=2026-03-09T22:42:06.667289100)
2026-03-09 22:42:06.672 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14247, shortCode=2q257pfIeNY, longUrl=https://www.load-test--1773067326659-937.com, urlHash=afbef649d6d685c526904d65f4d000a3, status=1, expireTime=2026-03-16T22:42:06.659289500, createTime=2026-03-09T22:42:06.667289100, updateTime=2026-03-09T22:42:06.667289100)
2026-03-09 22:42:06.671 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.672 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14244, shortCode=2q257pfIeNZ, longUrl=https://www.load-test--1773067326659-938.com, urlHash=a751d5e7ef1aadf2244066b4e3a361e6, status=1, expireTime=2026-03-16T22:42:06.659289500, createTime=2026-03-09T22:42:06.667289100, updateTime=2026-03-09T22:42:06.667289100)
2026-03-09 22:42:06.672 [pool-4-thread-48] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pd9QDn
2026-03-09 22:42:06.672 [pool-4-thread-24] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pd9QDo
2026-03-09 22:42:06.672 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.672 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pdrrLq
2026-03-09 22:42:06.672 [pool-4-thread-49] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pd9QDm
2026-03-09 22:42:06.673 [pool-4-thread-1] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pe0E1y
2026-03-09 22:42:06.674 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14250, shortCode=2q257pghr44, longUrl=https://www.load-test--1773067326661-941.com, urlHash=6621a38ff3f17b394f5d4f523744137c, status=1, expireTime=2026-03-16T22:42:06.661291300, createTime=2026-03-09T22:42:06.668569100, updateTime=2026-03-09T22:42:06.668569100)
2026-03-09 22:42:06.674 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14248, shortCode=2q257pfZPW1, longUrl=https://www.load-test--1773067326661-939.com, urlHash=d2ab713c88d957467aa51e15b1b0829e, status=1, expireTime=2026-03-16T22:42:06.661291300, createTime=2026-03-09T22:42:06.668569100, updateTime=2026-03-09T22:42:06.668569100)
2026-03-09 22:42:06.674 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14249, shortCode=2q257pfZPW0, longUrl=https://www.load-test--1773067326661-940.com, urlHash=7375a6ace45761a452d6f6cd89772269, status=1, expireTime=2026-03-16T22:42:06.661291300, createTime=2026-03-09T22:42:06.668569100, updateTime=2026-03-09T22:42:06.668569100)
2026-03-09 22:42:06.674 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.674 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.674 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.675 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.675 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257peif9C
2026-03-09 22:42:06.675 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.675 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pezQhG
2026-03-09 22:42:06.675 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pezQhH
2026-03-09 22:42:06.675 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.675 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257peif9E
2026-03-09 22:42:06.675 [pool-4-thread-13] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.675 [pool-4-thread-29] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257peif9D
2026-03-09 22:42:06.676 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257peif9F
2026-03-09 22:42:06.676 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14255, shortCode=2q257ph8esi, longUrl=https://www.load-test--1773067326665-948.com, urlHash=bbe3815c0c29d48bca7248453b4c5649, status=1, expireTime=2026-03-16T22:42:06.665287900, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.676 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14254, shortCode=2q257pgz2ca, longUrl=https://www.load-test--1773067326663-943.com, urlHash=efa359f385ac930cb865ff0e670c7e33, status=1, expireTime=2026-03-16T22:42:06.663287200, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.676 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14256, shortCode=2q257ph8esh, longUrl=https://www.load-test--1773067326664-946.com, urlHash=294d81e5a455cda1f47bf56988ce658c, status=1, expireTime=2026-03-16T22:42:06.664288700, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.676 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14253, shortCode=2q257ph8esg, longUrl=https://www.load-test--1773067326664-945.com, urlHash=efebfbb4c6e1737c0886894304e965a9, status=1, expireTime=2026-03-16T22:42:06.664288700, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.676 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14251, shortCode=2q257pgz2c8, longUrl=https://www.load-test--1773067326663-942.com, urlHash=77f777a51ac89c97299c0f78a714c500, status=1, expireTime=2026-03-16T22:42:06.663287200, createTime=2026-03-09T22:42:06.669689500, updateTime=2026-03-09T22:42:06.669689500)
2026-03-09 22:42:06.676 [pool-4-thread-21] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14252, shortCode=2q257pgz2c9, longUrl=https://www.load-test--1773067326664-944.com, urlHash=250055e3c18689b9ddac19e88913ab1b, status=1, expireTime=2026-03-16T22:42:06.664288700, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.676 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14257, shortCode=2q257ph8esj, longUrl=https://www.load-test--1773067326664-947.com, urlHash=f6971ad7eebcfd2d680d4a896675d994, status=1, expireTime=2026-03-16T22:42:06.664288700, createTime=2026-03-09T22:42:06.671031500, updateTime=2026-03-09T22:42:06.671031500)
2026-03-09 22:42:06.677 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.677 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.677 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.678 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.678 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.678 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14258, shortCode=2q257phpPAk, longUrl=https://www.load-test--1773067326666-950.com, urlHash=d91fe3e25b6438dc8ddf2e0d0ec80360, status=1, expireTime=2026-03-16T22:42:06.666288400, createTime=2026-03-09T22:42:06.672033200, updateTime=2026-03-09T22:42:06.672033200)
2026-03-09 22:42:06.678 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14259, shortCode=2q257phpPAl, longUrl=https://www.load-test--1773067326666-949.com, urlHash=8385b0d1c089ed322ef3c45fee5a3eeb, status=1, expireTime=2026-03-16T22:42:06.666288400, createTime=2026-03-09T22:42:06.672033200, updateTime=2026-03-09T22:42:06.672033200)
2026-03-09 22:42:06.678 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14260, shortCode=2q257phpPAm, longUrl=https://www.load-test--1773067326666-951.com, urlHash=bb798924dddd84e4cfaae5716f82ee26, status=1, expireTime=2026-03-16T22:42:06.666288400, createTime=2026-03-09T22:42:06.673031700, updateTime=2026-03-09T22:42:06.673031700)
2026-03-09 22:42:06.678 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.678 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfIeNY
2026-03-09 22:42:06.678 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.679 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfIeNX
2026-03-09 22:42:06.679 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfIeNW
2026-03-09 22:42:06.679 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.679 [pool-4-thread-47] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.679 [pool-4-thread-3] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.679 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257peRrpK
2026-03-09 22:42:06.679 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfIeO0
2026-03-09 22:42:06.679 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfIeNZ
2026-03-09 22:42:06.680 [pool-4-thread-13] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14267, shortCode=2q257pigCYA, longUrl=https://www.load-test--1773067326669-958.com, urlHash=619ac420df50a1bc647b59d70f6639c6, status=1, expireTime=2026-03-16T22:42:06.669689500, createTime=2026-03-09T22:42:06.676032100, updateTime=2026-03-09T22:42:06.676032100)
2026-03-09 22:42:06.680 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14264, shortCode=2q257phZ1Qt, longUrl=https://www.load-test--1773067326668-954.com, urlHash=92bab8a044eaff641b99f579dbf61f47, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.675030600, updateTime=2026-03-09T22:42:06.675030600)
2026-03-09 22:42:06.680 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14266, shortCode=2q257pigCYz, longUrl=https://www.load-test--1773067326668-957.com, urlHash=c9e8c10b7b8e1f49710973298277f51b, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.676032100, updateTime=2026-03-09T22:42:06.676032100)
2026-03-09 22:42:06.680 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14261, shortCode=2q257phZ1Qs, longUrl=https://www.load-test--1773067326668-952.com, urlHash=ec753ee62d72904bf17085debf63f10c, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.675030600, updateTime=2026-03-09T22:42:06.675030600)
2026-03-09 22:42:06.680 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14265, shortCode=2q257pigCYy, longUrl=https://www.load-test--1773067326668-956.com, urlHash=c3fa90333ba787deb34374a31d23c202, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.675030600, updateTime=2026-03-09T22:42:06.675030600)
2026-03-09 22:42:06.680 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14263, shortCode=2q257pigCYx, longUrl=https://www.load-test--1773067326668-955.com, urlHash=f4f590f941b0b1c55db00e13f3b09a7f, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.675030600, updateTime=2026-03-09T22:42:06.675030600)
2026-03-09 22:42:06.680 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14262, shortCode=2q257pigCYw, longUrl=https://www.load-test--1773067326668-953.com, urlHash=63e6a242f864f63a68a497cc3794e6fd, status=1, expireTime=2026-03-16T22:42:06.668569100, createTime=2026-03-09T22:42:06.675030600, updateTime=2026-03-09T22:42:06.675030600)
2026-03-09 22:42:06.680 [pool-4-thread-8] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.680 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.681 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:06.681 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfZPW1
2026-03-09 22:42:06.681 [pool-4-thread-26] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pghr44
2026-03-09 22:42:06.681 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pfZPW0
2026-03-09 22:42:06.682 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14268, shortCode=2q257piPPeE, longUrl=https://www.load-test--1773067326671-960.com, urlHash=6ae0cef5dcc655c25d668ae6cbf26715, status=1, expireTime=2026-03-16T22:42:06.671031500, createTime=2026-03-09T22:42:06.677029800, updateTime=2026-03-09T22:42:06.677029800)
2026-03-09 22:42:06.682 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14270, shortCode=2q257piPPeG, longUrl=https://www.load-test--1773067326671-961.com, urlHash=9d32e337c4439adcb1e6a3dd1542376f, status=1, expireTime=2026-03-16T22:42:06.671031500, createTime=2026-03-09T22:42:06.678030300, updateTime=2026-03-09T22:42:06.678030300)
2026-03-09 22:42:06.682 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=14269, shortCode=2q257piPPeF, longUrl=https://www.load-test--1773067326671-959.com, urlHash=a9f2956642b78773c88d39ffaf1113b7, status=1, expireTime=2026-03-16T22:42:06.671031500, createTime=2026-03-09T22:42:06.678030300, updateTime=2026-03-09T22:42:06.678030300)
2026-03-09 22:42:06.682 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257ph8esh
2026-03-09 22:42:06.682 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pgz2ca
2026-03-09 22:42:06.682 [pool-4-thread-6] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257pgz2c8
2026-03-09 22:42:06.682 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257ph8esg
2026-03-09 22:42:06.682 [pool-4-thread-45] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q257ph8esi
